host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable
1.0,4,1.0,4.0,2,2,1,1,$90.00,52.3964488028,4.9511596852,Entire home/apt,t
1.0,6,1.0,4.0,1,3,4,1,$125.00,52.4069238187,4.9665512119,Entire home/apt,f
15.0,4,1.0,2.0,2,2,0,13,$70.00,52.4069352791,4.9915903901,Private room,f
3.0,2,1.0,1.0,2,2,46,3,$57.00,52.3990554139,4.9412745858000005,Private room,t
15.0,6,1.0,2.0,2,2,0,13,$99.00,52.4130776692,4.9460829036,Private room,f
1.0,4,1.5,4.0,2,1,2,1,$99.00,52.3877947214,4.9578438412,Entire home/apt,f
2.0,4,1.5,1.0,1,3,17,2,$49.00,52.4067579398,4.9296011864,Private room,f
1.0,4,1.0,3.0,2,3,8,1,$109.00,52.3817750975,4.9655537008,Entire home/apt,f
1.0,3,1.0,0.0,1,1,3,1,$150.00,52.3946686176,4.9465800313,Entire home/apt,f
2.0,2,1.0,1.0,1,1,1,2,$53.00,52.3982524902,4.9286089892,Private room,f
1.0,2,1.0,1.0,2,2,21,1,$80.00,52.4212832452,5.0022624109,Entire home/apt,t
15.0,2,1.0,1.0,2,1,195,13,$78.00,52.409915419,4.9629106117,Private room,f
1.0,2,1.0,0.0,1,2,5,1,$81.00,52.3770114568,4.9781527073,Entire home/apt,f
1.0,2,1.0,2.0,1,2,0,1,$80.00,52.3977182104,4.9423741248,Entire home/apt,f
15.0,2,1.0,1.0,2,1,1,13,$78.00,52.4104571478,4.9630868102,Private room,f
1.0,4,1.5,2.0,1,5,11,2,$175.00,52.3851619964,4.9578608383,Entire home/apt,f
1.0,4,1.0,1.0,2,2,0,1,$120.00,52.3954979428,4.9957610246,Private room,f
1.0,4,1.0,2.0,1,4,5,1,$125.00,52.3865509479,4.9556957051,Entire home/apt,f
15.0,2,1.0,1.0,2,1,56,13,$78.00,52.4092127252,4.9647823594,Private room,f
1.0,2,1.0,1.0,1,2,0,1,$60.00,52.3971134011,4.9406071958,Private room,f
4.0,2,1.0,1.0,1,2,14,2,$59.00,52.3955862947,4.9553751937,Private room,t
43.0,4,1.0,2.0,2,4,2,42,$85.00,52.4079835732,4.9336522154,Entire home/apt,f
1.0,4,1.0,1.0,2,3,28,1,$110.00,52.3793438904,4.9928351914,Private room,f
1.0,4,1.0,4.0,4,5,2,1,$100.00,52.4075975969,4.9309210352,Entire home/apt,f
1.0,2,1.0,1.0,1,2,4,1,$95.00,52.4088998377,4.9665137158,Private room,f
1.0,2,1.0,1.0,1,2,205,1,$75.00,52.382811223,4.9668947412,Private room,t
1.0,6,2.0,4.0,1,7,4,1,$140.00,52.3890660745,4.9548476112,Entire home/apt,f
1.0,4,1.0,3.0,4,3,6,1,$210.00,52.4084247335,4.9346969879,Entire home/apt,f
1.0,2,1.0,1.0,1,1,9,1,$67.00,52.3975656803,4.9385095255,Entire home/apt,t
1.0,4,1.5,3.0,4,6,0,1,$200.00,52.4079882615,4.9330766548,Entire home/apt,t
1.0,4,1.0,3.0,1,9,0,1,$100.00,52.3935241434,4.9547021816,Entire home/apt,f
1.0,4,1.0,3.0,2,2,1,1,$168.00,52.3983147062,4.9252421694,Entire home/apt,f
15.0,2,1.5,1.0,2,4,129,11,$54.00,52.4038308209,4.9384266972,Private room,f
2.0,4,1.0,2.0,1,4,0,2,$150.00,52.4023896205,4.9429749588,Entire home/apt,f
3.0,2,1.0,1.0,2,2,40,3,$56.00,52.3993687442,4.9404089329000005,Private room,t
15.0,3,1.0,1.0,2,2,48,13,$72.00,52.3939074662,4.9906830523,Private room,f
1.0,4,1.0,3.0,1,2,5,1,$150.00,52.4042753587,4.9303830056999995,Entire home/apt,f
1.0,4,1.0,3.0,2,2,4,1,$90.00,52.3791818303,4.9963703229,Entire home/apt,t
1.0,4,1.0,2.0,2,2,2,1,$100.00,52.379944248,5.0001055884,Entire home/apt,t
1.0,2,1.0,1.0,1,2,20,1,$90.00,52.3962142117,4.9992316797,Entire home/apt,f
15.0,4,1.0,1.0,2,2,33,13,$74.00,52.4065375929,4.995237782,Private room,f
1.0,2,1.0,1.0,1,2,12,1,$63.00,52.3968055036,4.9542889339,Private room,f
1.0,2,1.0,1.0,1,2,3,1,$90.00,52.3806885881,4.9703329053,Entire home/apt,f
3.0,1,1.0,1.0,1,2,49,3,$37.00,52.3969987205,4.942198939,Private room,t
1.0,3,1.0,1.0,2,6,41,1,$85.00,52.4148786536,5.0267009263,Entire home/apt,f
1.0,2,1.0,1.0,2,2,0,1,$130.00,52.3787285768,4.989368667,Entire home/apt,t
15.0,4,1.0,2.0,2,2,11,13,$73.00,52.4080958271,4.9950688729,Private room,f
36.0,4,1.5,3.0,2,2,1,28,$150.00,52.3977305932,4.9317175281,Entire home/apt,f
1.0,2,1.0,1.0,1,4,9,1,$65.00,52.3951511231,4.9587883955,Entire home/apt,t
1.0,2,1.0,1.0,1,2,19,1,$62.00,52.3958556119,4.9505743444,Private room,f
1.0,6,1.0,2.0,4,1,0,1,$100.00,52.4012973133,4.9366579181,Entire home/apt,t
1.0,7,3.0,4.0,1,5,1,1,$225.00,52.3837894754,4.9650618344,Entire home/apt,f
